lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC520175_T1w	1164.0	1209.0	969.0	1042.0	688.0	2005.0	1296.0	895.0	427.0	218.0	1540.0	983.0	467.0	468.0	3646.0	5346.0	451.0	654.0	1630.0	1251.0	1247.0	2285.0	747.0	2000.0	1620.0	1918.0	1938.0	1822.0	1803.0	2478.0	825.0	434.0	352.0	1498.0	523.0	922.0	2028.0	1625.0	157.0	200.0	910.0	1563.0	1423.0	1699.0	2359.0	927.0	391.0	1057.0	1232.0	692.0	418.0	1652.0	1355.0	2382.0	238.0	2001.0	773.0	989.0	659.0	624.0	1771.0	398.0	496.0	1076.0	1990.0	1099.0	2050.0	1367.0	985.0	434.0	870.0	1210.0	3731.0	371.0	93960.8	1225804.0	1655923.756955
sub-CC520197_T1w	730.0	1074.0	906.0	895.0	412.0	1469.0	696.0	678.0	353.0	156.0	1495.0	727.0	179.0	515.0	2659.0	3810.0	356.0	499.0	1131.0	917.0	1037.0	1941.0	762.0	1339.0	1542.0	1375.0	1898.0	1410.0	1297.0	1767.0	634.0	329.0	259.0	1079.0	358.0	674.0	1386.0	1544.0	155.0	192.0	567.0	1145.0	1026.0	1922.0	2143.0	609.0	238.0	915.0	920.0	543.0	359.0	1165.0	668.0	1649.0	200.0	1540.0	366.0	827.0	548.0	754.0	1246.0	221.0	505.0	683.0	1217.0	515.0	1786.0	1107.0	854.0	394.0	577.0	962.0	3652.0	197.0	72656.2	962132.0	1301580.079412
sub-CC520279_T1w	692.0	936.0	1068.0	1032.0	440.0	1273.0	892.0	782.0	350.0	167.0	1145.0	774.0	310.0	764.0	2299.0	4389.0	497.0	660.0	1227.0	734.0	1294.0	1808.0	801.0	1561.0	1422.0	1696.0	1583.0	1481.0	1751.0	1574.0	649.0	388.0	330.0	1118.0	435.0	634.0	1265.0	1556.0	191.0	242.0	819.0	1181.0	894.0	1513.0	2078.0	609.0	359.0	1001.0	1296.0	453.0	346.0	1095.0	641.0	1630.0	144.0	1927.0	637.0	644.0	434.0	502.0	1321.0	98.0	339.0	564.0	1254.0	969.0	1827.0	922.0	1003.0	379.0	458.0	748.0	3288.0	315.0	73896.9	963985.0	1499954.48125
sub-CC520287_T1w	649.0	1103.0	935.0	977.0	545.0	1704.0	999.0	998.0	449.0	215.0	1369.0	833.0	380.0	983.0	3148.0	4727.0	468.0	476.0	1106.0	819.0	1030.0	2404.0	708.0	1446.0	1613.0	1931.0	2083.0	1224.0	1436.0	1749.0	610.0	402.0	278.0	1437.0	293.0	586.0	1621.0	1554.0	317.0	286.0	700.0	1357.0	1063.0	2023.0	2075.0	768.0	359.0	1025.0	1250.0	692.0	352.0	1417.0	939.0	1919.0	266.0	2087.0	655.0	622.0	307.0	499.0	1251.0	128.0	423.0	655.0	1467.0	992.0	1801.0	1245.0	825.0	433.0	569.0	1036.0	3348.0	379.0	80818.8	1030389.0	1295398.387951
sub-CC520398_T1w	753.0	1067.0	923.0	1014.0	378.0	1224.0	821.0	742.0	431.0	185.0	1138.0	795.0	248.0	578.0	2302.0	4002.0	339.0	371.0	1430.0	903.0	1017.0	1765.0	738.0	1311.0	1434.0	1864.0	1940.0	1807.0	1622.0	1578.0	651.0	260.0	265.0	1019.0	514.0	573.0	1439.0	1526.0	185.0	168.0	645.0	1163.0	1050.0	1817.0	2344.0	772.0	287.0	785.0	1002.0	567.0	287.0	1243.0	745.0	1588.0	199.0	1953.0	596.0	786.0	432.0	449.0	1188.0	180.0	413.0	768.0	1086.0	739.0	2125.0	1063.0	740.0	454.0	559.0	944.0	3686.0	221.0	74196.4	984332.0	1421049.89449
sub-CC610039_T1w	839.0	919.0	920.0	859.0	499.0	1612.0	780.0	929.0	465.0	187.0	1016.0	686.0	291.0	919.0	2866.0	4366.0	367.0	399.0	1055.0	657.0	927.0	1592.0	716.0	1572.0	2190.0	2021.0	1783.0	1315.0	1258.0	1798.0	713.0	422.0	268.0	1367.0	450.0	1193.0	1183.0	1432.0	261.0	266.0	725.0	965.0	853.0	1526.0	1899.0	658.0	342.0	864.0	1073.0	476.0	360.0	1670.0	691.0	1774.0	538.0	2095.0	586.0	645.0	424.0	537.0	1276.0	250.0	376.0	834.0	1043.0	837.0	2014.0	880.0	644.0	355.0	886.0	868.0	4252.0	277.0	76846.9	995039.0	1396175.00811
sub-CC610071_T1w	708.0	1015.0	1166.0	949.0	447.0	1620.0	952.0	1113.0	546.0	183.0	1199.0	1106.0	416.0	584.0	3157.0	5078.0	385.0	516.0	1257.0	975.0	1210.0	1676.0	722.0	1553.0	1796.0	2167.0	1877.0	1470.0	1686.0	2096.0	851.0	508.0	294.0	1344.0	349.0	648.0	1458.0	1430.0	183.0	220.0	840.0	1110.0	1042.0	1352.0	2532.0	756.0	508.0	986.0	1292.0	580.0	292.0	1544.0	795.0	2449.0	337.0	1875.0	678.0	930.0	369.0	567.0	986.0	186.0	516.0	862.0	1524.0	1074.0	2328.0	1046.0	1000.0	455.0	1022.0	887.0	3611.0	256.0	83497.4	1049896.0	1484349.027891
sub-CC610099_T1w	821.0	1091.0	1015.0	880.0	533.0	1595.0	1171.0	1118.0	341.0	185.0	1414.0	1057.0	263.0	650.0	3249.0	4947.0	431.0	436.0	1248.0	917.0	1439.0	1555.0	699.0	1450.0	1817.0	1507.0	1710.0	1604.0	1606.0	1433.0	726.0	286.0	315.0	1370.0	457.0	625.0	1474.0	1783.0	194.0	218.0	682.0	1214.0	1107.0	1283.0	2215.0	799.0	254.0	833.0	1043.0	533.0	325.0	1480.0	1025.0	2154.0	294.0	1811.0	455.0	778.0	451.0	560.0	1222.0	179.0	503.0	746.0	1582.0	954.0	1743.0	1077.0	842.0	471.0	481.0	1054.0	4059.0	364.0	80205.2	1028304.0	1535767.776064
sub-CC610210_T1w	961.0	1298.0	1002.0	996.0	594.0	1757.0	1078.0	1115.0	369.0	243.0	1896.0	795.0	383.0	1129.0	3959.0	5706.0	479.0	577.0	1799.0	1027.0	1191.0	2607.0	756.0	1797.0	1876.0	2062.0	2063.0	1660.0	1925.0	1612.0	723.0	606.0	345.0	1520.0	658.0	773.0	1884.0	1745.0	253.0	287.0	812.0	1621.0	1365.0	2237.0	2424.0	675.0	367.0	985.0	1348.0	522.0	462.0	1876.0	1310.0	2563.0	298.0	1809.0	1036.0	728.0	608.0	663.0	1407.0	307.0	540.0	1001.0	1944.0	780.0	2286.0	1253.0	1198.0	469.0	672.0	1303.0	3612.0	395.0	94377.7	1186134.0	1747263.943766
sub-CC610285_T1w	775.0	823.0	984.0	1077.0	537.0	1900.0	984.0	1033.0	519.0	201.0	800.0	1146.0	282.0	698.0	3099.0	4693.0	494.0	599.0	1214.0	690.0	1106.0	1576.0	801.0	1700.0	1697.0	2015.0	1674.0	1183.0	1136.0	1888.0	779.0	555.0	402.0	1455.0	507.0	701.0	1618.0	1961.0	223.0	139.0	829.0	982.0	1134.0	1221.0	1601.0	735.0	336.0	886.0	1251.0	538.0	304.0	1841.0	797.0	2032.0	457.0	1957.0	414.0	745.0	453.0	626.0	1440.0	210.0	506.0	912.0	949.0	1111.0	2080.0	986.0	627.0	572.0	717.0	961.0	3664.0	300.0	79836.0	1046590.0	1578558.971646
