rh.aparc.a2009s.area,rh_G_and_S_frontomargin_area,rh_G_and_S_occipital_inf_area,rh_G_and_S_paracentral_area,rh_G_and_S_subcentral_area,rh_G_and_S_transv_frontopol_area,rh_G_and_S_cingul-Ant_area,rh_G_and_S_cingul-Mid-Ant_area,rh_G_and_S_cingul-Mid-Post_area,rh_G_cingul-Post-dorsal_area,rh_G_cingul-Post-ventral_area,rh_G_cuneus_area,rh_G_front_inf-Opercular_area,rh_G_front_inf-Orbital_area,rh_G_front_inf-Triangul_area,rh_G_front_middle_area,rh_G_front_sup_area,rh_G_Ins_lg_and_S_cent_ins_area,rh_G_insular_short_area,rh_G_occipital_middle_area,rh_G_occipital_sup_area,rh_G_oc-temp_lat-fusifor_area,rh_G_oc-temp_med-Lingual_area,rh_G_oc-temp_med-Parahip_area,rh_G_orbital_area,rh_G_pariet_inf-Angular_area,rh_G_pariet_inf-Supramar_area,rh_G_parietal_sup_area,rh_G_postcentral_area,rh_G_precentral_area,rh_G_precuneus_area,rh_G_rectus_area,rh_G_subcallosal_area,rh_G_temp_sup-G_T_transv_area,rh_G_temp_sup-Lateral_area,rh_G_temp_sup-Plan_polar_area,rh_G_temp_sup-Plan_tempo_area,rh_G_temporal_inf_area,rh_G_temporal_middle_area,rh_Lat_Fis-ant-Horizont_area,rh_Lat_Fis-ant-Vertical_area,rh_Lat_Fis-post_area,rh_Pole_occipital_area,rh_Pole_temporal_area,rh_S_calcarine_area,rh_S_central_area,rh_S_cingul-Marginalis_area,rh_S_circular_insula_ant_area,rh_S_circular_insula_inf_area,rh_S_circular_insula_sup_area,rh_S_collat_transv_ant_area,rh_S_collat_transv_post_area,rh_S_front_inf_area,rh_S_front_middle_area,rh_S_front_sup_area,rh_S_interm_prim-Jensen_area,rh_S_intrapariet_and_P_trans_area,rh_S_oc_middle_and_Lunatus_area,rh_S_oc_sup_and_transversal_area,rh_S_occipital_ant_area,rh_S_oc-temp_lat_area,rh_S_oc-temp_med_and_Lingual_area,rh_S_orbital_lateral_area,rh_S_orbital_med-olfact_area,rh_S_orbital-H_Shaped_area,rh_S_parieto_occipital_area,rh_S_pericallosal_area,rh_S_postcentral_area,rh_S_precentral-inf-part_area,rh_S_precentral-sup-part_area,rh_S_suborbital_area,rh_S_subparietal_area,rh_S_temporal_inf_area,rh_S_temporal_sup_area,rh_S_temporal_transverse_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-CC510050_T1w,660.0,783.0,995.0,961.0,983.0,2087.0,911.0,1054.0,293.0,223.0,1567.0,776.0,340.0,437.0,2689.0,5023.0,352.0,479.0,1530.0,1054.0,1264.0,2046.0,794.0,1824.0,2463.0,1628.0,1643.0,1235.0,1557.0,1899.0,532.0,311.0,215.0,1170.0,461.0,611.0,1767.0,1679.0,293.0,159.0,931.0,2428.0,1205.0,2080.0,2116.0,962.0,405.0,809.0,854.0,602.0,284.0,1123.0,1566.0,1566.0,456.0,2090.0,809.0,619.0,371.0,876.0,1225.0,477.0,454.0,951.0,1737.0,987.0,1495.0,1100.0,797.0,271.0,680.0,969.0,3948.0,186.0,84176.0,1056203.0,1511936.255181
sub-CC510086_T1w,703.0,832.0,863.0,1116.0,759.0,2016.0,1039.0,1107.0,385.0,192.0,1636.0,904.0,222.0,511.0,3344.0,4089.0,344.0,439.0,1478.0,1122.0,1375.0,1846.0,656.0,1752.0,1643.0,1850.0,1643.0,1445.0,1524.0,1880.0,532.0,311.0,205.0,1123.0,558.0,625.0,1881.0,2040.0,338.0,157.0,938.0,2501.0,1364.0,1688.0,2017.0,889.0,369.0,733.0,809.0,812.0,307.0,1396.0,1311.0,1640.0,275.0,2342.0,745.0,1010.0,402.0,487.0,1324.0,236.0,460.0,923.0,1367.0,1271.0,1832.0,1436.0,670.0,278.0,828.0,763.0,3783.0,179.0,83868.8,1099340.0,1519065.693119
sub-CC510163_T1w,584.0,845.0,766.0,863.0,723.0,1621.0,783.0,827.0,284.0,183.0,1540.0,794.0,232.0,465.0,2325.0,3960.0,342.0,346.0,1491.0,1205.0,1323.0,1601.0,675.0,1557.0,1141.0,1346.0,1230.0,1098.0,1430.0,1325.0,515.0,253.0,207.0,1018.0,511.0,475.0,1386.0,1634.0,257.0,158.0,812.0,2646.0,1184.0,1574.0,2085.0,748.0,347.0,681.0,777.0,633.0,271.0,1189.0,1439.0,1573.0,123.0,1641.0,943.0,664.0,367.0,668.0,1083.0,258.0,440.0,736.0,1384.0,872.0,1289.0,1031.0,892.0,212.0,667.0,613.0,3557.0,199.0,72919.6,935696.0,1366131.185065
sub-CC510256_T1w,695.0,1176.0,1063.0,1001.0,919.0,2162.0,1186.0,1032.0,341.0,211.0,1708.0,901.0,268.0,522.0,2526.0,4982.0,465.0,504.0,1765.0,1308.0,1726.0,2156.0,1302.0,2237.0,2288.0,1612.0,1943.0,1481.0,2241.0,2074.0,617.0,313.0,306.0,1290.0,665.0,648.0,1720.0,2067.0,301.0,199.0,981.0,2766.0,1246.0,2055.0,2550.0,1051.0,522.0,889.0,938.0,896.0,489.0,1184.0,1657.0,2560.0,218.0,2789.0,722.0,1081.0,724.0,997.0,1328.0,272.0,603.0,1051.0,1709.0,702.0,1821.0,980.0,1214.0,275.0,969.0,1007.0,4672.0,250.0,95088.1,1276103.0,1807367.96011
sub-CC510259_T1w,758.0,737.0,817.0,1155.0,830.0,1963.0,922.0,1109.0,372.0,211.0,1375.0,1049.0,303.0,703.0,2907.0,4861.0,402.0,536.0,1316.0,1178.0,1610.0,2254.0,916.0,2088.0,1756.0,1803.0,1753.0,1573.0,1458.0,1800.0,617.0,326.0,315.0,1280.0,549.0,680.0,1793.0,2003.0,214.0,116.0,941.0,1852.0,1309.0,1680.0,2123.0,843.0,406.0,799.0,1139.0,894.0,315.0,1228.0,1432.0,1860.0,509.0,2205.0,673.0,906.0,420.0,1006.0,1287.0,266.0,497.0,919.0,1735.0,1249.0,2212.0,1005.0,893.0,205.0,902.0,979.0,3635.0,289.0,87018.5,1087196.0,1531242.91814
sub-CC510321_T1w,557.0,831.0,795.0,955.0,681.0,1686.0,893.0,980.0,343.0,155.0,1219.0,978.0,224.0,445.0,2185.0,4150.0,370.0,326.0,1164.0,946.0,968.0,2017.0,847.0,1407.0,1812.0,1785.0,1472.0,1135.0,1468.0,1522.0,512.0,227.0,227.0,1175.0,399.0,616.0,1299.0,1899.0,193.0,89.0,942.0,1686.0,996.0,1359.0,1957.0,787.0,286.0,716.0,804.0,687.0,248.0,1014.0,960.0,1258.0,265.0,2306.0,436.0,809.0,438.0,677.0,1165.0,189.0,420.0,780.0,1281.0,765.0,1949.0,953.0,710.0,196.0,620.0,854.0,3590.0,176.0,73226.1,990158.0,1357891.551999
sub-CC510329_T1w,585.0,1031.0,907.0,1227.0,836.0,2110.0,1103.0,921.0,375.0,238.0,1644.0,1166.0,273.0,531.0,3222.0,4746.0,449.0,583.0,1724.0,1114.0,1217.0,2197.0,867.0,1943.0,1701.0,1622.0,1774.0,1265.0,2115.0,1814.0,662.0,416.0,251.0,1231.0,627.0,569.0,2269.0,2017.0,299.0,164.0,977.0,2420.0,1512.0,1652.0,2441.0,801.0,456.0,791.0,1035.0,860.0,372.0,1496.0,1410.0,2204.0,391.0,2604.0,847.0,697.0,788.0,764.0,1537.0,169.0,428.0,1007.0,1707.0,1022.0,1707.0,1486.0,869.0,289.0,1075.0,1065.0,3502.0,261.0,90445.5,1249318.0,1791599.707989
sub-CC510342_T1w,592.0,968.0,809.0,945.0,741.0,1798.0,1086.0,749.0,353.0,207.0,1579.0,879.0,230.0,752.0,1979.0,4137.0,390.0,406.0,1296.0,1035.0,1176.0,2150.0,639.0,1508.0,1935.0,1405.0,1633.0,1236.0,1577.0,1850.0,539.0,251.0,209.0,1160.0,453.0,544.0,967.0,1504.0,242.0,193.0,936.0,2454.0,898.0,2006.0,2146.0,917.0,329.0,737.0,766.0,428.0,368.0,1267.0,1710.0,1479.0,237.0,2732.0,428.0,980.0,551.0,780.0,1250.0,200.0,376.0,729.0,1434.0,527.0,1627.0,1178.0,854.0,7.0,699.0,580.0,3797.0,172.0,77682.9,1015534.0,1390351.331481
sub-CC510433_T1w,560.0,571.0,738.0,747.0,471.0,1391.0,752.0,698.0,333.0,183.0,1360.0,794.0,199.0,479.0,1912.0,3657.0,347.0,359.0,1190.0,769.0,888.0,1454.0,708.0,1668.0,1675.0,1229.0,1412.0,1018.0,1340.0,1310.0,467.0,364.0,289.0,1005.0,414.0,451.0,1511.0,1460.0,240.0,123.0,785.0,1824.0,976.0,1257.0,1544.0,721.0,307.0,709.0,751.0,635.0,247.0,851.0,821.0,1357.0,157.0,1757.0,639.0,574.0,216.0,530.0,1056.0,210.0,441.0,675.0,1178.0,506.0,1190.0,1017.0,732.0,216.0,671.0,791.0,3036.0,97.0,65006.5,899616.0,1234200.915336
sub-CC510551_T1w,630.0,860.0,1020.0,975.0,738.0,1825.0,847.0,967.0,350.0,174.0,1430.0,887.0,235.0,477.0,2438.0,4875.0,429.0,411.0,1515.0,1150.0,1000.0,2116.0,591.0,1760.0,1728.0,1651.0,1741.0,1281.0,1813.0,1482.0,667.0,339.0,240.0,1171.0,541.0,634.0,1712.0,1977.0,231.0,108.0,961.0,2246.0,1301.0,1512.0,2265.0,930.0,322.0,752.0,841.0,493.0,294.0,1082.0,1487.0,1624.0,423.0,2284.0,674.0,913.0,327.0,563.0,1525.0,296.0,646.0,802.0,1588.0,906.0,1900.0,1230.0,1088.0,266.0,577.0,774.0,4232.0,172.0,82312.1,1079680.0,1490209.718235
